label,text
smishing,"Dear PAYTM customer your paytm KYC has been suspended, paytm office PH 6291628992 Account will block within 24 hour. Thank you. PAYTM TEAM"
ham,No she didnt. I will search online and let you know.
smishing,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv
ham,Then. You are eldest know.
ham,I notice you like looking in the shit mirror youre turning into a right freak
spam,Only 1 day left for SAWAN KI BAHAR compt. for Agents/DOs/CLIAs. Qualify the competition and win maximum prizes...SDM
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won.  Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,I never wanted to do was to hurt you. I am sorry if I have done that�
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
ham,Yes princess! I want to please you every night. Your wish is my command...
ham,Ok no prob�thanks�
ham,Ok... U enjoy ur shows...
smishing,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,S..antha num corrct dane
ham,"No, I was trying it all weekend ;V"
ham,Simply sitting and watching match in office..
ham,"Sir, i am waiting for your call."
ham,I will come tomorrow my dear
smishing,"Todays Vodafone numbers ending 5263 are selected to receive a Rs.2,00,000 award. If you have a match please call 6200992462 quoting claim code 4267 standard rates apply"
ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
ham,Okie�enjoy!!
ham,Finished class where are you.
smishing,"IMPORTANT MESSAGE FROM WESTPAC For the safety of our customers due to the recent COVID-19 virus, all customers are required to review and update their personal details. You will be unable to use Westpac services until you have done so. Please go to https:// westpac-mobile.cc/2update or call us on 132 032."
smishing,"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 8927307655 Now!"
ham,And popping &lt;#&gt; ibuprofens was no help.
ham,Its a part of checking IQ
ham,That day you asked about anand number. Why:-)
smishing,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
ham,"Yup. Anything lor, if u dun wan it's ok..."
ham,Kay... Since we are out already
ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
ham,HELLO PEACH! MY CAKE TASTS LUSH!
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
ham,Please tell me not all of my car keys are in your purse
ham,"Nope, I'm still in the market"
ham,"Sorry, I'll call later..hope u knw.."
smishing,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FEE, visit www.07781482378.com"
ham,Are you going to write ccna exam this week??
ham,"Vikky, come around  &lt;TIME&gt; .."
ham,"(No promises on when though, haven't even gotten dinner yet)"
smishing,"Todays Vodafone numbers ending 7548 are selected to receive a Rs.2,00,000 award. If you have a match please call 8536074310 quoting claim code 4041 standard rates apply"
ham,Apo all other are mokka players only
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,That's y we haf to combine n c how lor...
ham,"I call you later, don't have network. If urgnt, sms me."
ham,"Sorry, I'll call later�hope u understand.."
ham,Bugis oso near wat...
smishing,"YOU VE WON! Your 4* Costa Del Sol Holiday or £6000 await collection. Call 09050090055 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good."
ham,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..
ham,Can u look 4 me in da lib i got stuff havent finish yet.
ham,Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
ham,Wat r u doing? Call me
ham,No..its ful of song lyrics..
ham,Lmao. Take a pic and send it to me.
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
ham,Thank you baby! I cant wait to taste the real thing...
ham,Its ok..come to my home it vl nice to meet and v can chat..
smishing,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only.
ham,"Yes..but they said its IT.,"
ham,Me fine..absolutly fine�.dont worry!!!
ham,Hey... What time is your driving on fri? We go for evaluation on fri?
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
ham,Wrong phone! This phone! I answer this one but assume the other is people i don't well
ham,Hope you are having a good week. Just checking in
ham,Am going to take bath ill place the key in window:-)
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,How much u trying to get?
ham,"Yeah, we got one lined up for us"
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
ham,At home by the way
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
ham,No calls..messages..only missed calls
ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
ham,Actually I decided I was too hungry so I haven't left yet :V
ham,Okay but i thought you were the expert
spam,"Last Chance! Claim ur £450 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! M263UZ. £3.00 Sub. 16"
ham,Hope you are having a good TIME.
ham,Yup ü not comin :-(
ham,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-)
ham,Are you available for soiree on June 3rd?
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,What time. I‘m out until prob 3 or so
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,Just sleeping..and surfing
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,They don't put that stuff on the roads to keep it from getting slippery over there?
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya
ham,Yes when is the appt again?
ham,Some are lasting as much as 2 hours. You might get lucky.
ham,Leave it. U will always be ignorant.
ham,I see the letter B on my car
ham,S....s...india going to draw the series after many years in south african soil..
ham,Friends that u can stay on fb chat with
ham,I am in hospital dear. . I will call u back later
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
ham,Have you got Xmas radio times. If not i will get it now
ham,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you"
ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
ham,"If e timing can, then i go w u lor..."
ham,Thats cool. I want to please you...
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007"
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
ham,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)"
ham,Old Orchard near univ. How about you?
ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic
ham,"Sorry, I'll call later..busy ryt now.."
smishing,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,Yup!! Not good
ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
ham,Ryder unsold.now gibbs.
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY."
ham,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
smishing,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
ham,I can't have a friend in the house because i'm embarassed that everything is scattered on the floor. I think we should work on it.
ham,I'm wif him now buying tix lar...
ham,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs!"
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
ham,Many times we lose our best ones bcoz we are
smishing,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
smishing,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
smishing,RMO.00 R.HB: RM4388.00 Was Charged On Your Card Numer 9577 at AwG-KLIA2 On 24/10/16 1032:29 Reference Code 342152 Call 03216837293 if u did NOT perform this Txn
smishing,Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 6299257179
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
ham,"Looks like you found something to do other than smoke, great job!"
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service
ham,He also knows about lunch menu only da. . I know
ham,I'm working technical support :)voice process.networking field.
spam,What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash
ham,I'm going 2 orchard now laready me reaching soon. U reaching?
ham,Ofcourse I also upload some songs
ham,Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
spam,"One call can change your life.Weight loss & gain 5 to 25 kg no side effect, 100% ayurvedic product with money back guarantee.CALL-9871993238,9871965149"
ham,Long time. You remember me today.
ham,My sister got placed in birla soft da:-)
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss."
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,R we going with the  &lt;#&gt;  bus?
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
ham,"Did you say bold, then torch later. Or one torch and 2bold?"
ham,Shall i come to pick that?
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,Good evening! How are you?
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,"Sorry,in meeting I'll call later"
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''."
ham,Yeah but which is worse for i
ham,U studying in sch or going home? Anyway i'll b going 2 sch later.
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know."
ham,Wat u doing there?
ham,"Was really good to see you the other day dudette, been missing you!"
ham,No problem baby. Is this is a good time to talk? I called and left a message.
ham,Are you this much buzy AS YOU SHOW
spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
ham,Hello which the site to download songs its urgent pls
ham,Ya! when are ü taking ure practical lessons? I start in june..
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me...."
ham,Your work is perfect!
ham,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!"
ham,I have many dependents
ham,Call me when you get the chance plz &lt;3
ham,Did u got that persons story�Anyhow..
smishing,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
ham,Im just wondering what your doing right now?
ham,"Hey babe, my friend had to cancel, still up for a visit ?"
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
smishing,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938768 to update now!
ham,Rofl. Its true to its name
ham,"fyi I'm at usf now, swing by the room whenever"
ham,what you plan to do on Valentines day on 14 feb
ham,Can ü send me a copy of da report?
ham,Thanx 4 e brownie it's v nice...
ham,Your account has been refilled successfully by INR 100.00; . Your KeralaCircle prepaid account balance is Rs.101.00 ; . Your Transaction ID is KR 3567 .
ham,Now thats going to ruin your thesis!
spam,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795
smishing,Dear (paytm)customer your paytm KYC has been suspended PAY-TM office PH 6200992462 Your Paytm A/C will block within 24hr Thank you.
ham,U're welcome... Caught u using broken english again...
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,"Ask g or iouri, I've told the story like ten times already"
ham,Hmmm.but you should give it on one day..
ham,Jay is snickering and tells me that x is totally spoiling up the chords as we speak
ham,I'm in inside office..still filling forms.don know when they leave me.
ham,Takin a shower now but yeah I'll leave when I'm done
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
smishing,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
smishing,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with � 1500 Bonus Prize, call 09066364589"
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
spam,NON-STOP INTERNET and DOWNLOADING with Pocket Internet. Dial *234*2900# and get Games at a special price of Rs.3 everyday. Click and play: http://goo.gl/iRrIJ
smishing,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701462. Claim code KL345.
ham,Dont think so. It turns off like randomlly within 5min of opening
ham,Reckon need to be in town by eightish to walk from * carpark.
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
smishing,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,I will lick up every drop :) are you ready to use your mouth as well?
ham,Spoons it is then okay?
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
ham,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn"
ham,Omg how did u know what I ate?
ham,Wanna do some art?! :D
ham,Lol wtf random. Btw is that your lunch break
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,Pls convey my birthday wishes to Nimya.. Today is her birthday
ham,No. I dont want to hear anything
ham,"I am real, baby! I want to bring out your inner tigress..."
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm."
ham,Remember to ask alex about his pizza
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
smishing,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,And of course you should make a stink!
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,Have a good evening! Good Luck!!
ham,"Goodnight, sleep well da please take care pa. Please."
ham,U sick still can go shopping?
ham,Yup... From what i remb... I think should be can book...
ham,;-) ok. I feel like john lennon.
smishing,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,Are you comingdown later?
ham,"at Customer place, i wil cal u sir."
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
smishing,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
ham,"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?"
ham,Sorry completely forgot * will pop em round this week if your still here?
ham,"Playin space poker, u?"
ham,I need... Coz i never go before
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
ham,Shall i get my pouch?
ham,So u workin overtime nigpun?
ham,"Haha... Sounds crazy, dunno can tahan anot..."
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
ham,"Come to mu, we're sorting out our narcotics situation"
ham,"yeah, that's what I was thinking"
ham,O was not into fps then.
smishing,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
ham,Ok then u tell me wat time u coming later lor.
ham,Oh k. . I will come tomorrow�dats for sure�.
ham,"Haha, just what I was thinkin"
ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
ham,Already am squatting is the new way of walking
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,Lol that's different. I don't go trying to find every real life photo you ever took.
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
ham,Ok�I am agreed..
ham,Dude how do you like the buff wind.
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
ham,I am busy on Sunday as I HAVE A DATE ON SUNDAY WITH LITCI!!
ham,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,You dont know you jabo me abi.
ham,"Just arrived, see you in a couple days &lt;3"
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
ham,Not course. Only maths one day one chapter with in one month we can finish.
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,Lol no. U can trust me.
ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
smishing,You have 1 new voicemail. Please call 08719181503
ham,"K so am I, how much for an 8th? Fifty?"
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
smishing,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins
ham,Every monday..nxt week vl be completing..
ham,Hope you are ENJOYING a great day.
ham,Pls speak with me. I wont ask anything other then you friendship.
spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
ham,"Nah man, my car is meant to be crammed full of people"
ham,How do you plan to manage that
smishing,"Urgent! call 09066350760 from your landline. Your complimentary 4* Ibiza Holiday or 20,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,Me too! Have a lovely night xxx
ham,Its like that hotel dusk game i think. You solve puzzles in a area thing
ham,Noice. Text me when you're here
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing.
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry"
ham,Happy birthday... Be happy ..keep smiling...
ham,5000 ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
ham,I will come  in half an hour
ham,K...k...yesterday i was in cbe .
ham,JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX
ham,I attended but nothing is there.
ham,All e best 4 ur driving tmr :-)
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,have got * few things to do. may be in * pub later.
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
smishing,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, PocketBabe.co.uk 0870241182716"
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
ham,Not..tel software name..
ham,"Probably not, I'm almost out of gas and I get some cash tomorrow"
ham,Big brother‘s really scraped the barrel with this shower of social misfits
ham,Will have two more cartons off u and is very pleased with shelves
ham,K come to nordstrom when you're done
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
smishing,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
ham,Somebody should go to andros and steal ice
ham,"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me...."
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
ham,Ya that one is slow as poo
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
ham,I've told you everything will stop. Just dont let her get dehydrated.
ham,What * u wearing?
ham,"No my blankets are sufficient, thx"
ham,Ya it came a while ago
ham,I'm at work. Please call
ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
ham,Hai priya are you right. What doctor said pa. Where are you.
ham,Blank is Blank. But wat is blank? Lol
ham,"He will, you guys close?"
ham,Not tonight mate. Catching up on some sleep. This is my new number by the way.
ham,We are both fine. Thanks
ham,TaKe CaRE n gET WeLL sOOn
smishing,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470"
ham,Speaking of does he have any cash yet?
ham,Huh means computational science... Y they like dat one push here n there...
ham,Haf u found him? I feel so stupid da v cam was working.
ham,Ya but it cant display internal subs so i gotta extract them
ham,Probably earlier than that if the station's where I think it is
ham,Yo im right by yo work
ham,I think that tantrum's finished so yeah I'll be by at some point
smishing,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921"
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
ham,Just finished. Missing you plenty
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
ham,.Please charge my mobile when you get up in morning.
ham,Hmmm.still we dont have opener?
ham,Then ur sis how?
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham,Ok lor�whats up�
smishing,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,"And how you will do that, princess? :)"
ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
ham,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
smishing,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
smishing,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
